BUILDER_NAME;INPUT_FILE;OUTPUT_FILE;GRID_SIZE;ISO_LEVEL;FIELD_ELEMENTS;NUM_THREADS;ELAPSED_TIME;TOTAL_TRIANGLES;OUTPUT_SIZE
OpenMP Loop;/home/training/dd-19-32-26/Assignment/scripts/../data/bun_zipper_res3.pts;;8;0.15;1889;16;10;552;
OpenMP Loop;/home/training/dd-19-32-26/Assignment/scripts/../data/bun_zipper_res3.pts;;16;0.15;1889;16;17;2384;
OpenMP Loop;/home/training/dd-19-32-26/Assignment/scripts/../data/bun_zipper_res3.pts;;32;0.15;1889;16;112;9780;
OpenMP Loop;/home/training/dd-19-32-26/Assignment/scripts/../data/bun_zipper_res3.pts;;64;0.15;1889;16;737;40288;
OpenMP Loop;/home/training/dd-19-32-26/Assignment/scripts/../data/bun_zipper_res3.pts;;128;0.15;1889;16;5818;163220;
OpenMP Loop;/home/training/dd-19-32-26/Assignment/scripts/../data/bun_zipper_res3.pts;;256;0.15;1889;16;46173;655500;
OpenMP Loop;/home/training/dd-19-32-26/Assignment/scripts/../data/bun_zipper_res3.pts;;512;0.15;1889;16;369165;2628352;
Octree;/home/training/dd-19-32-26/Assignment/scripts/../data/bun_zipper_res3.pts;;8;0.15;1889;16;9;552;
Octree;/home/training/dd-19-32-26/Assignment/scripts/../data/bun_zipper_res3.pts;;16;0.15;1889;16;18;2384;
Octree;/home/training/dd-19-32-26/Assignment/scripts/../data/bun_zipper_res3.pts;;32;0.15;1889;16;60;9780;
Octree;/home/training/dd-19-32-26/Assignment/scripts/../data/bun_zipper_res3.pts;;64;0.15;1889;16;325;40288;
Octree;/home/training/dd-19-32-26/Assignment/scripts/../data/bun_zipper_res3.pts;;128;0.15;1889;16;2127;163220;
Octree;/home/training/dd-19-32-26/Assignment/scripts/../data/bun_zipper_res3.pts;;256;0.15;1889;16;15237;655500;
Octree;/home/training/dd-19-32-26/Assignment/scripts/../data/bun_zipper_res3.pts;;512;0.15;1889;16;116041;2628352;
